model,roc_auc,accuracy,churn_precision,churn_recall,churn_f1
Logistic Regression,0.7444933699142728,0.670979020979021,0.3116319444444444,0.7080867850098619,0.432790837854129
Random Forest,0.7411756027598323,0.7171328671328672,0.3351528384279476,0.6055226824457594,0.4314827828531272
