threshold,churn_precision,churn_recall,churn_f1,accuracy
0.2,0.2099956159579132,0.9447731755424064,0.3436154949784792,0.36013986013986016
0.25,0.23635427394438724,0.9053254437869822,0.374846876276031,0.4646853146853147
0.3,0.25980975029726516,0.8619329388560157,0.39926907263590683,0.5402097902097902
0.35,0.27724795640326977,0.8027613412228797,0.41215189873417724,0.5940559440559441
0.4,0.29896907216494845,0.7435897435897436,0.4264705882352941,0.6454545454545455
0.45,0.32146204311152765,0.6765285996055227,0.4358322744599746,0.6895104895104895
0.5,0.3351528384279476,0.6055226824457594,0.4314827828531272,0.7171328671328672
0.55,0.3389830508474576,0.5128205128205128,0.40816326530612246,0.7363636363636363
0.6,0.37293729372937295,0.4457593688362919,0.40610961365678344,0.7688811188811189
0.65,0.4065934065934066,0.36489151873767256,0.38461538461538464,0.793006993006993
0.7,0.47101449275362317,0.2564102564102564,0.33205619412515963,0.8171328671328671
0.75,0.5486725663716814,0.1222879684418146,0.2,0.8265734265734266
0.8,0.6538461538461539,0.03353057199211045,0.06378986866791744,0.8255244755244755
