risk_segment,users,actual_churn_rate,avg_churn_probability,avg_sessions,avg_drives,avg_activity_days,avg_driving_days
High Risk,276,0.47101449275362317,0.7462374866014609,96.54347826086956,80.56159420289855,3.2572463768115942,1.894927536231884
Medium Risk,985,0.25076142131979695,0.5485779737635328,81.86395939086295,68.00913705583757,8.743147208121828,6.346192893401016
Low Risk,1599,0.08130081300813008,0.2376137724576328,77.62851782363977,64.90118824265166,21.86554096310194,17.62539086929331
